screen_time,sleep_hours,stress_level,wellness_index,sleep_quality,fatigue_score,digital_balance,screen_time_category,physical_activity,caffeine_intake,work_hours,mood
5.65,7.28,7.2,35.2,Good,3.684,1.0947368421052632,Moderate,3,2,7,Normal
9.31,7.08,8.4,30.4,Good,5.668,0.6867119301648884,High,0,3,11,Normal
7.72,7.96,3.8,62.2,Good,3.0160000000000005,0.9128440366972478,Moderate,1,1,4,Normal
11.81,6.45,10.0,0.0,Moderate,7.434,0.5035128805620609,High,0,0,7,Exhausted
6.71,6.31,7.4,23.3,Moderate,4.382,0.8184176394293126,Moderate,0,3,7,Normal
6.1,7.47,4.1,53.0,Good,2.5860000000000003,1.052112676056338,Moderate,4,1,12,Relaxed
7.46,7.33,8.9,23.7,Good,5.078,0.8664302600472813,Moderate,1,1,5,Normal
14.22,6.5,10.0,0.0,Moderate,8.388,0.42706964520367935,High,1,3,12,Exhausted
9.93,7.67,9.3,18.5,Good,6.158,0.7017383348581885,High,2,2,4,Exhausted
13.29,7.08,10.0,0.0,Good,7.899999999999999,0.49545136459062283,High,2,2,9,Exhausted
6.77,6.93,6.5,27.3,Moderate,3.9219999999999997,0.8918918918918919,Moderate,4,2,6,Normal
10.25,6.33,10.0,0.3,Moderate,6.834000000000001,0.5626666666666666,High,0,2,8,Exhausted
8.75,6.2,8.8,0.0,Moderate,5.78,0.635897435897436,High,0,0,9,Normal
10.13,7.48,9.8,1.5,Good,6.476000000000001,0.6720575022461814,High,0,1,4,Exhausted
9.47,8.22,7.2,34.4,Good,5.024000000000001,0.7851002865329513,High,0,3,8,Normal
7.57,7.08,9.4,27.4,Good,5.372,0.8261376896149358,Moderate,4,1,11,Normal
6.76,7.12,5.6,39.1,Good,3.5199999999999996,0.9175257731958764,Moderate,2,1,7,Normal
7.82,8.37,6.9,44.1,Good,4.214,0.9489795918367345,Moderate,0,2,7,Normal
11.49,7.1,7.2,29.9,Good,6.056000000000001,0.5684547638110488,High,2,2,5,Exhausted
8.89,7.49,9.7,19.8,Good,5.938,0.7573306370070778,High,0,0,7,Normal
10.09,5.89,10.0,4.5,Moderate,6.858000000000001,0.5311091073038774,High,3,2,4,Exhausted
9.02,7.57,9.4,2.3,Good,5.854,0.7554890219560879,High,0,0,6,Normal
11.16,5.89,10.0,3.8,Moderate,7.2860000000000005,0.48437499999999994,High,1,1,5,Exhausted
7.3,6.3,8.4,9.8,Moderate,5.0200000000000005,0.7590361445783131,Moderate,2,3,7,Normal
6.95,7.14,10.0,0.0,Good,5.352,0.8981132075471697,Moderate,4,0,12,Normal
5.5,7.21,2.6,60.6,Good,1.798,1.1092307692307692,Moderate,2,1,8,Relaxed
11.02,6.56,10.0,13.2,Moderate,7.096000000000001,0.5457570715474209,High,1,2,11,Exhausted
8.47,6.06,7.4,18.2,Moderate,5.136000000000001,0.6399155227032735,High,1,3,8,Normal
6.92,8.15,5.1,57.0,Good,3.178,1.0290404040404042,Moderate,3,3,7,Normal
8.23,8.01,7.0,30.6,Good,4.49,0.8678223185265438,High,2,3,10,Normal
7.88,5.68,7.7,19.6,Moderate,5.096,0.6396396396396397,Moderate,3,2,12,Normal
13.44,7.29,10.0,5.4,Good,7.918000000000001,0.5048476454293629,High,0,0,5,Exhausted
5.41,6.93,4.6,43.0,Moderate,2.6179999999999994,1.0811232449297972,Moderate,2,2,11,Relaxed
8.6,7.92,9.2,21.4,Good,5.536,0.8250000000000001,High,1,2,5,Normal
9.13,6.84,5.4,52.8,Moderate,4.444000000000001,0.6752221125370187,High,0,3,5,Normal
9.26,7.09,10.0,5.1,Good,6.2860000000000005,0.6910331384015594,High,0,1,11,Exhausted
6.61,7.26,6.8,19.3,Good,3.912000000000001,0.9540078843626806,Moderate,1,2,8,Normal
3.93,8.75,2.2,68.4,Good,0.702,1.7748478701825559,Low,0,2,10,Relaxed
11.75,5.65,10.0,0.0,Moderate,7.569999999999999,0.4431372549019608,High,1,1,12,Exhausted
7.58,7.61,4.5,61.4,Good,3.3099999999999996,0.8869463869463869,Moderate,0,1,4,Normal
9.14,7.89,9.4,11.7,Good,5.838,0.7781065088757396,High,0,1,8,Normal
5.44,8.18,3.0,56.1,Good,1.7400000000000002,1.2701863354037266,Moderate,0,0,5,Relaxed
9.86,8.89,8.2,32.6,Good,5.446,0.8186003683241253,High,0,1,10,Normal
8.05,6.72,7.1,17.5,Moderate,4.716,0.7425414364640883,High,3,2,5,Normal
7.04,8.04,4.6,72.6,Good,3.048000000000001,1.0,Moderate,0,0,11,Normal
6.32,7.32,6.3,30.8,Good,3.5839999999999996,1.0,Moderate,0,1,11,Normal
10.3,7.91,9.1,12.2,Good,6.178,0.7,High,3,3,8,Exhausted
9.24,7.03,9.3,5.0,Good,6.01,0.6865234375,High,0,2,10,Exhausted
8.29,6.8,6.4,34.5,Moderate,4.516,0.7319698600645856,High,1,0,7,Normal
5.52,8.66,6.2,38.1,Good,2.9560000000000004,1.3282208588957056,Moderate,4,0,6,Relaxed
9.13,6.64,10.0,0.0,Moderate,6.324000000000001,0.6554787759131292,High,4,1,11,Exhausted
9.81,5.87,10.0,0.0,Moderate,6.75,0.5430157261794635,High,4,3,5,Exhausted
7.75,6.76,8.3,10.7,Moderate,5.068,0.7725714285714286,Moderate,4,3,8,Normal
7.05,7.81,8.8,14.4,Good,4.7780000000000005,0.9701863354037266,Moderate,4,1,12,Normal
7.83,8.3,3.2,80.9,Good,2.7520000000000007,0.9399773499433749,Moderate,1,3,12,Relaxed
10.17,6.84,10.0,0.0,Moderate,6.700000000000001,0.612354521038496,High,4,1,5,Exhausted
7.94,8.28,8.3,18.7,Good,4.840000000000001,0.9261744966442951,Moderate,4,1,5,Normal
9.58,5.9,8.9,6.1,Moderate,6.2120000000000015,0.55765595463138,High,2,3,4,Exhausted
3.69,7.49,6.8,30.3,Good,2.6979999999999995,1.5970149253731345,Low,1,2,9,Relaxed
7.58,7.01,7.7,24.2,Good,4.71,0.8170163170163169,Moderate,0,0,8,Normal
9.82,6.72,9.2,10.7,Moderate,6.264,0.6210720887245841,High,4,1,5,Exhausted
8.53,7.15,9.5,6.7,Good,5.782,0.7502623294858343,High,2,2,12,Normal
7.32,7.82,5.1,41.4,Good,3.404,0.9399038461538461,Moderate,1,0,5,Normal
4.3,7.33,7.0,27.3,Good,3.0540000000000003,1.3830188679245283,Moderate,0,2,7,Normal
12.51,6.61,10.0,2.9,Moderate,7.682000000000001,0.4892672094744634,High,3,2,7,Exhausted
4.89,7.66,4.3,39.9,Good,2.144,1.300509337860781,Moderate,4,1,10,Relaxed
11.1,6.14,9.5,8.8,Moderate,7.0120000000000005,0.5074380165289256,High,3,1,4,Exhausted
10.84,6.69,10.0,0.3,Moderate,6.998,0.5650337837837838,High,2,2,11,Exhausted
13.9,6.22,10.0,8.7,Moderate,8.316,0.4174496644295302,High,2,0,6,Exhausted
12.05,6.45,9.6,4.1,Moderate,7.37,0.4942528735632184,High,0,1,10,Exhausted
6.34,7.33,5.0,54.7,Good,3.0699999999999994,0.9986376021798365,Moderate,0,3,8,Normal
11.04,6.79,10.0,4.7,Moderate,7.058,0.563953488372093,High,2,2,6,Exhausted
11.19,6.38,9.2,2.5,Moderate,6.879999999999999,0.5233798195242002,High,3,2,11,Exhausted
10.05,8.1,7.1,32.0,Good,5.24,0.7330316742081447,High,0,0,11,Normal
11.94,5.65,10.0,0.9,Moderate,7.646,0.43663060278207116,High,2,0,10,Exhausted
7.8,6.67,6.9,14.3,Moderate,4.546000000000001,0.7579545454545454,Moderate,0,3,6,Normal
11.23,8.93,9.3,28.6,Good,6.426,0.7301717089125102,High,3,0,7,Exhausted
8.7,6.16,8.4,2.7,Moderate,5.608,0.6350515463917527,High,3,1,10,Normal
1.0,7.26,0.0,87.2,Good,-1.052,3.63,Low,2,2,10,Relaxed
10.12,7.53,10.0,5.0,Good,6.542,0.6771582733812951,High,0,1,7,Exhausted
10.04,5.29,10.0,6.1,Moderate,6.958,0.4791666666666667,High,4,3,8,Exhausted
6.42,7.17,6.7,42.7,Good,3.814,0.9663072776280324,Moderate,0,0,8,Normal
9.58,8.79,6.6,30.5,Good,4.714,0.830812854442344,High,1,3,12,Normal
7.77,5.88,10.0,0.0,Moderate,5.932,0.6704675028506272,Moderate,0,2,12,Normal
7.85,5.68,8.1,8.7,Moderate,5.244000000000001,0.6418079096045197,Moderate,2,3,4,Normal
6.0,6.47,9.4,9.6,Moderate,4.866,0.9242857142857143,Moderate,4,0,12,Normal
9.23,7.65,4.8,52.1,Good,4.082,0.7478005865102639,High,3,0,5,Normal
11.27,7.56,8.9,41.2,Good,6.556000000000001,0.6161369193154034,High,4,2,4,Exhausted
9.05,6.63,10.0,0.9,Moderate,6.2940000000000005,0.6597014925373134,High,0,2,4,Exhausted
8.07,7.69,7.9,26.9,Good,4.85,0.8478500551267917,High,1,0,4,Normal
5.52,8.55,3.7,67.8,Good,1.9779999999999995,1.3113496932515338,Moderate,3,1,12,Relaxed
10.27,8.29,8.3,33.5,Good,5.77,0.735581188997338,High,2,1,12,Normal
9.59,6.67,8.8,6.5,Moderate,6.022,0.6298394711992445,High,1,3,5,Exhausted
12.19,4.76,10.0,0.2,Poor,7.924000000000001,0.36087945413191813,High,2,2,12,Exhausted
6.09,6.75,6.4,18.6,Moderate,3.6460000000000004,0.9520451339915375,Moderate,4,2,7,Normal
5.87,7.3,5.8,43.9,Good,3.208,1.0625909752547307,Moderate,1,2,7,Normal
9.65,6.68,10.0,4.7,Moderate,6.524,0.6272300469483567,High,1,3,4,Exhausted
9.13,6.85,10.0,4.4,Moderate,6.282000000000001,0.6762092793682132,High,3,3,9,Exhausted
5.07,8.59,5.2,45.7,Good,2.3900000000000006,1.415156507413509,Moderate,0,0,5,Relaxed
8.14,8.1,8.5,22.3,Good,5.0360000000000005,0.886214442013129,High,2,3,7,Normal
11.85,6.5,10.0,2.5,Moderate,7.44,0.5058365758754864,High,4,2,7,Exhausted
10.39,7.82,6.8,50.3,Good,5.312000000000001,0.6865671641791045,High,0,3,6,Normal
3.76,7.99,2.9,60.1,Good,1.0659999999999996,1.6785714285714286,Low,0,1,7,Relaxed
5.9,7.58,5.5,49.3,Good,3.0440000000000005,1.098550724637681,Moderate,0,1,11,Normal
8.76,7.83,6.2,30.2,Good,4.418,0.8022540983606558,High,0,0,6,Normal
12.18,6.69,10.0,0.0,Moderate,7.534,0.507587253414264,High,4,2,4,Exhausted
6.31,9.0,2.7,97.0,Good,1.804,1.2311901504787963,Moderate,3,0,10,Relaxed
8.7,5.83,10.0,8.0,Moderate,6.314,0.6010309278350516,High,3,0,11,Exhausted
7.18,6.95,3.6,43.7,Moderate,2.922,0.8496332518337408,Moderate,3,0,4,Relaxed
9.11,6.95,9.0,20.3,Moderate,5.853999999999999,0.6874381800197824,High,4,0,4,Normal
7.47,7.65,10.0,1.7,Good,5.457999999999999,0.9031877213695397,Moderate,3,0,9,Normal
8.97,8.09,8.2,29.9,Good,5.25,0.8114343029087261,High,3,2,11,Normal
7.98,7.12,9.5,7.9,Good,5.5680000000000005,0.7928730512249443,Moderate,3,1,6,Normal
7.22,6.19,7.9,9.6,Moderate,4.81,0.7530413625304138,Moderate,0,3,9,Normal
7.16,8.02,5.5,59.8,Good,3.46,0.9828431372549019,Moderate,1,2,10,Normal
16.29,6.5,10.0,4.8,Moderate,9.216,0.3759398496240602,High,3,0,10,Exhausted
9.52,5.56,9.9,0.6,Moderate,6.656000000000001,0.5285171102661597,High,4,0,4,Exhausted
12.39,6.57,10.0,7.7,Moderate,7.6419999999999995,0.49066467513069456,High,1,2,11,Exhausted
8.8,5.71,7.8,16.0,Moderate,5.498,0.5826530612244898,High,1,0,8,Normal
8.99,6.57,8.4,20.2,Moderate,5.642,0.6576576576576577,High,1,3,5,Normal
9.69,6.14,10.0,0.0,Moderate,6.648,0.5743685687558466,High,3,1,6,Exhausted
9.75,7.64,10.0,13.0,Good,6.372,0.7106976744186047,High,1,3,9,Exhausted
12.67,6.68,10.0,16.7,Moderate,7.732000000000001,0.48866130212143377,High,0,3,9,Exhausted
12.06,5.49,10.0,0.0,Moderate,7.726000000000002,0.4203675344563553,High,0,2,9,Exhausted
7.64,8.03,5.1,48.9,Good,3.49,0.929398148148148,Moderate,4,0,10,Normal
10.26,5.74,10.0,0.0,Moderate,6.9559999999999995,0.5097690941385435,High,0,1,9,Exhausted
5.57,7.89,6.7,58.5,Good,3.33,1.2009132420091324,Moderate,3,1,4,Normal
8.32,6.65,8.3,22.6,Moderate,5.3180000000000005,0.7135193133047211,High,1,3,9,Normal
10.63,6.49,6.9,18.0,Moderate,5.714,0.5580395528804815,High,1,1,7,Normal
11.09,7.07,10.0,0.0,Good,7.022,0.5847808105872623,High,3,0,12,Exhausted
6.55,7.75,8.7,19.9,Good,4.55,1.0264900662251655,Moderate,4,2,12,Normal
10.33,7.85,7.9,28.3,Good,5.722,0.6928508384819064,High,1,3,10,Normal
9.98,6.83,10.0,8.3,Moderate,6.626000000000001,0.6220400728597449,High,0,0,9,Exhausted
7.99,7.47,9.1,28.9,Good,5.3420000000000005,0.8309232480533926,Moderate,3,3,12,Normal
11.22,6.39,10.0,0.0,Moderate,7.209999999999999,0.5229132569558101,High,1,1,6,Exhausted
4.1,7.99,4.1,45.3,Good,1.6819999999999997,1.5666666666666669,Moderate,3,0,10,Relaxed
10.48,7.18,10.0,0.0,Good,6.756,0.6254355400696864,High,1,1,7,Exhausted
8.57,7.15,8.3,17.4,Good,5.318000000000001,0.7471264367816092,High,4,3,6,Normal
8.16,5.7,6.3,30.0,Moderate,4.644,0.6222707423580787,High,4,3,10,Normal
16.36,6.42,10.0,0.0,Moderate,9.26,0.36981566820276496,High,1,3,11,Exhausted
4.56,8.06,6.3,47.3,Good,2.7319999999999993,1.4496402877697843,Moderate,4,2,12,Relaxed
9.88,6.3,10.0,15.0,Moderate,6.692,0.5790441176470588,High,2,0,12,Exhausted
7.35,6.18,8.0,8.2,Moderate,4.904000000000001,0.7401197604790419,Moderate,4,0,8,Normal
6.92,8.57,5.7,44.5,Good,3.3339999999999996,1.0820707070707072,Moderate,2,3,7,Normal
7.05,7.72,6.8,32.0,Good,3.996000000000001,0.9590062111801241,Moderate,2,2,6,Normal
12.92,6.33,10.0,0.2,Moderate,7.901999999999999,0.45474137931034486,High,2,3,5,Exhausted
11.06,5.86,10.0,0.0,Moderate,7.251999999999999,0.4859038142620232,High,1,1,7,Exhausted
10.75,6.12,7.4,28.6,Moderate,6.036,0.5208510638297873,High,0,1,7,Exhausted
12.27,7.53,10.0,0.0,Good,7.402000000000001,0.5674453654860588,High,1,0,7,Exhausted
13.51,6.35,10.0,0.0,Moderate,8.134,0.43762922122674014,High,3,3,7,Exhausted
10.19,6.39,10.0,0.0,Moderate,6.798,0.5710455764075067,High,3,3,6,Exhausted
7.02,7.81,6.4,36.1,Good,3.806,0.9738154613466334,Moderate,3,2,6,Normal
7.34,6.66,9.1,16.1,Moderate,5.244000000000001,0.7985611510791367,Moderate,4,1,7,Normal
10.4,7.94,10.0,0.0,Good,6.572,0.6964912280701755,High,2,0,9,Exhausted
10.82,7.87,10.0,19.3,Good,6.754,0.6658206429780034,High,2,1,4,Exhausted
5.85,7.18,7.4,20.3,Good,3.8640000000000008,1.0481751824817518,Moderate,2,2,6,Normal
10.95,6.17,10.0,7.6,Moderate,7.145999999999999,0.5163179916317991,High,4,0,10,Exhausted
8.08,5.1,7.0,30.6,Moderate,5.0120000000000005,0.5616740088105726,High,3,2,9,Normal
11.65,5.47,10.0,0.8,Moderate,7.566,0.43241106719367584,High,4,0,9,Exhausted
8.93,5.89,10.0,0.0,Moderate,6.394,0.5931520644511581,High,4,2,10,Exhausted
11.79,6.76,10.0,0.0,Moderate,7.364000000000001,0.5285379202501955,High,1,1,6,Exhausted
6.09,7.27,8.5,27.5,Good,4.382000000000001,1.0253878702397743,Moderate,1,3,12,Normal
8.64,6.11,6.6,29.4,Moderate,4.874,0.6338174273858921,High,0,0,6,Normal
7.71,7.1,6.4,24.6,Good,4.224,0.8151549942594718,Moderate,1,2,9,Normal
10.68,7.08,10.0,6.2,Good,6.856,0.6061643835616438,High,2,3,8,Exhausted
8.73,7.43,9.4,26.0,Good,5.766000000000001,0.763617677286742,High,2,1,6,Normal
7.3,5.83,9.8,0.0,Moderate,5.6739999999999995,0.7024096385542168,Moderate,4,3,9,Normal
10.89,6.7,10.0,9.8,Moderate,7.016000000000002,0.5634987384356602,High,2,1,11,Exhausted
11.14,5.66,9.6,0.0,Moderate,7.164,0.4662273476112026,High,2,3,12,Exhausted
12.56,7.54,10.0,0.0,Good,7.516000000000001,0.556047197640118,High,1,1,5,Exhausted
11.96,7.27,9.3,3.3,Good,7.050000000000002,0.5609567901234567,High,0,0,11,Exhausted
11.15,6.1,9.2,6.5,Moderate,6.920000000000001,0.5020576131687242,High,4,0,6,Exhausted
5.28,7.07,6.5,38.8,Good,3.2979999999999996,1.125796178343949,Moderate,1,3,10,Normal
7.32,6.98,9.2,19.1,Moderate,5.212000000000001,0.8389423076923077,Moderate,2,1,4,Normal
9.39,5.16,10.0,5.9,Moderate,6.724,0.4966313763233879,High,2,0,10,Exhausted
11.12,7.06,8.3,13.0,Good,6.356,0.5825082508250825,High,2,1,8,Exhausted
3.49,7.59,1.9,77.7,Good,0.6380000000000001,1.6904231625835189,Low,4,0,11,Relaxed
15.38,6.85,10.0,1.2,Moderate,8.782,0.4181929181929181,High,2,1,11,Exhausted
11.64,5.74,10.0,15.9,Moderate,7.508000000000001,0.4541139240506329,High,1,3,4,Exhausted
9.13,6.54,8.4,14.5,Moderate,5.704000000000001,0.6456071076011846,High,1,3,4,Normal
7.48,6.25,6.4,29.2,Moderate,4.302000000000001,0.7370283018867925,Moderate,4,1,6,Normal
10.03,5.95,10.0,0.0,Moderate,6.822,0.5394378966455123,High,0,2,8,Exhausted
5.5,6.68,5.4,32.1,Moderate,3.024,1.0276923076923077,Moderate,4,3,12,Normal
9.53,7.64,10.0,0.0,Good,6.283999999999999,0.7255460588793923,High,0,0,12,Exhausted
8.16,6.58,7.4,23.2,Moderate,4.908,0.7183406113537117,High,0,3,6,Normal
9.32,7.18,7.4,15.5,Good,5.252000000000001,0.695736434108527,High,3,3,5,Normal
7.42,6.98,3.5,43.2,Moderate,2.9720000000000004,0.8289786223277911,Moderate,2,2,10,Relaxed
8.06,6.09,8.4,18.9,Moderate,5.3660000000000005,0.6721854304635762,High,3,0,10,Normal
9.51,6.78,8.8,5.7,Moderate,5.968000000000001,0.6450999048525214,High,1,2,8,Normal
11.85,7.15,9.3,0.0,Good,7.030000000000001,0.556420233463035,High,0,1,12,Exhausted
10.64,5.78,10.0,8.6,Moderate,7.1,0.4965635738831615,High,2,3,11,Exhausted
7.51,7.93,7.8,20.1,Good,4.538,0.9318448883666275,Moderate,4,2,12,Normal
6.2,6.79,6.9,16.5,Moderate,3.882,0.9430555555555555,Moderate,2,1,4,Normal
7.26,6.86,9.9,13.3,Moderate,5.492000000000001,0.8305084745762712,Moderate,1,1,5,Normal
10.23,7.46,10.0,10.1,Good,6.6000000000000005,0.6642920747996438,High,0,2,4,Exhausted
10.18,6.39,8.9,0.0,Moderate,6.354000000000001,0.5715563506261181,High,1,0,8,Exhausted
8.98,6.94,7.6,24.7,Moderate,5.244000000000001,0.6953907815631263,High,4,3,7,Normal
10.39,6.6,10.0,15.8,Moderate,6.836,0.5794556628621598,High,3,2,9,Exhausted
8.71,7.14,9.6,0.0,Good,5.896,0.7353244078269824,High,3,3,7,Normal
9.04,5.2,9.5,10.5,Moderate,6.376,0.5179282868525897,High,4,0,4,Exhausted
7.05,5.81,6.4,37.1,Moderate,4.218000000000001,0.7217391304347825,Moderate,4,0,9,Normal
7.76,7.72,7.9,26.2,Good,4.720000000000001,0.8812785388127854,Moderate,3,0,6,Normal
6.86,8.24,5.2,61.1,Good,3.1759999999999997,1.0483460559796438,Moderate,1,1,6,Normal
10.39,6.17,10.0,10.6,Moderate,6.922000000000001,0.5417032484635645,High,0,1,6,Exhausted
10.13,6.59,10.0,0.0,Moderate,6.734,0.5920934411500449,High,3,3,4,Exhausted
8.8,7.29,6.8,39.0,Good,4.782,0.7438775510204081,High,3,0,9,Normal
8.45,7.65,5.2,42.2,Good,3.9299999999999997,0.8095238095238096,High,1,2,7,Normal
10.13,5.2,8.5,10.2,Moderate,6.412000000000001,0.46720575022461813,High,0,0,5,Exhausted
9.61,6.39,10.0,21.8,Moderate,6.565999999999999,0.6022620169651273,High,1,0,10,Exhausted
12.69,6.26,10.0,3.4,Moderate,7.824000000000001,0.4572680788897005,High,0,0,9,Exhausted
11.19,7.17,10.0,0.0,Good,7.041999999999999,0.5881870385561936,High,0,1,9,Exhausted
4.87,9.74,2.7,83.8,Good,1.0800000000000003,1.6592844974446337,Moderate,4,3,11,Relaxed
13.66,6.33,10.0,1.7,Moderate,8.198,0.43178717598908595,High,2,1,6,Exhausted
9.8,5.88,8.6,11.0,Moderate,6.184,0.5444444444444444,High,1,3,10,Exhausted
6.42,7.63,7.6,31.3,Good,4.082000000000001,1.028301886792453,Moderate,0,0,10,Normal
9.26,8.03,7.1,40.4,Good,4.938000000000001,0.7826510721247563,High,3,1,12,Normal
9.66,7.14,8.4,0.4,Good,5.796,0.6697936210131332,High,2,0,4,Normal
2.44,7.25,0.6,88.9,Good,-0.2340000000000002,2.1075581395348837,Low,4,3,8,Relaxed
8.87,7.87,8.5,2.8,Good,5.3740000000000006,0.7973657548125634,High,3,1,8,Normal
8.89,7.66,7.8,33.6,Good,5.144,0.7745197168857432,High,0,2,11,Normal
7.83,6.32,7.4,31.3,Moderate,4.828,0.7157417893544734,Moderate,2,1,4,Normal
14.18,6.57,7.8,20.4,Moderate,7.4780000000000015,0.43280632411067194,High,4,2,4,Exhausted
7.64,7.91,6.9,19.3,Good,4.234000000000001,0.9155092592592592,Moderate,4,1,4,Normal
8.86,7.93,8.5,2.1,Good,5.3580000000000005,0.8042596348884381,High,4,2,7,Normal
8.08,7.1,10.0,0.0,Good,5.812,0.7819383259911894,High,1,3,5,Normal
7.95,6.82,6.7,31.8,Moderate,4.496,0.7620111731843576,Moderate,3,1,4,Normal
9.23,8.13,8.4,28.3,Good,5.426,0.7947214076246335,High,2,1,12,Normal
9.2,5.93,10.0,0.0,Moderate,6.494,0.5813725490196079,High,4,2,5,Exhausted
11.55,6.98,9.3,16.1,Moderate,6.944,0.5561752988047809,High,3,3,5,Exhausted
6.15,6.39,7.5,19.4,Moderate,4.182,0.8937062937062936,Moderate,3,3,7,Normal
9.01,8.01,6.8,31.8,Good,4.7219999999999995,0.8001998001998002,High,2,3,4,Normal
5.87,7.19,5.9,29.6,Good,3.27,1.0465793304221251,Moderate,2,3,6,Normal
10.13,7.99,7.7,23.7,Good,5.534000000000001,0.7178796046720575,High,3,1,7,Normal
10.57,7.21,7.0,44.1,Good,5.586,0.6231633535004322,High,1,2,6,Normal
12.39,5.48,10.0,0.0,Moderate,7.859999999999999,0.409260642270351,High,3,0,7,Exhausted
19.17,6.69,10.0,0.0,Moderate,10.330000000000002,0.33168071393158155,High,2,1,8,Exhausted
9.94,8.16,10.0,12.7,Good,6.343999999999999,0.7458866544789763,High,3,1,7,Exhausted
4.47,8.39,3.9,80.5,Good,1.6699999999999997,1.53382084095064,Moderate,0,0,7,Relaxed
10.54,6.21,8.0,3.7,Moderate,6.174,0.5381282495667244,High,3,1,10,Exhausted
7.24,7.03,8.4,26.5,Good,4.85,0.8531553398058253,Moderate,0,3,10,Normal
9.07,7.16,10.0,12.8,Good,6.196,0.7110228401191658,High,2,2,4,Exhausted
